헤드라인,신문사 정보,본문
[주식초고수는 지금] 코로나19로 돌아온 초고수···진원생명과학·웰크론 매수,서울경제 1분전,[서울경제] 주식 초고수들은 24일 오전 증시에서 신종코로나바이러스(코로나19) 백신 개발과 관련해 수혜가 기대되는 진원생명과학 …
"코오롱글로벌, “라비에벨 골프장 매각 검토 안해”",헤럴드경제 1분전,[헤럴드경제=증권부] 코오롱글로벌은 지난 23일 보도된 라비에벨 골프장 매각 추진 보도 관련 “현재 보유 중인 라비에벨 골프장에 …
"SK하이닉스, 지금 사도 될까?",아시아경제 2분전,[아시아경제 구은모 기자] SK하이닉스가 메모리 반도체 업황 악화 전망에 2017년 3월 이후 지켜오던 시가총액 2위 자리를 잠 …
"[특징주] 서진시스템, 5G 관련주 상승 효과 '급등'",머니S 4분전,서진시스템이 24일 장중 상승세다. 이날 오전 11시7분 서진시스템은 전일대비 6650원(16.92%) 오른 4만5950원에 거 …
달러-엔 105.740엔(11시09분 현재),이데일리 5분전,[이데일리 글로벌마켓부] 24일 11시09분 현재 아시아 외환시장에서 거래되고 있는 환율동향 입니다. -------------- …
"중국, 올해 역대 최대 회사채 디폴트 맞나",연합뉴스 8분전,정부 '상환 유예' 요구에 지연된 채무불이행 본격화 (상하이=연합뉴스) 차대운 특파원 = 중국 경제가 코로나19 충격 이후 회복 …
"해양 IoT 전문회사 투비, 해상 최대 100Km 내 선상 실시간 영상서비스 제공",서울경제 8분전,[서울경제] 낚시인들이 이제 먼 바다에서도 사회관계망서비스(SNS)뿐 아니라 유튜브 등 고용량 영상 서비스를 사용할 수 있게 된 …
"한화자산운용, '비정형 리스크의 사전대응 시스템 구축 필요성' 주제 세미나",아이뉴스24 10분전,[아이뉴스24 한수연 기자] 한화자산운용은 지난 21일 서울 여의도 전경련 컨퍼런스센터 다이아몬드홀에서 '비정형 리스크의 사전대 …
"한국카본, 1945억 규모 초저온 보냉자재 공급계약",헤럴드경제 10분전,[헤럴드경제=증권부] 한국카본은 삼성중공업과 LNG 수송선 화물창용 초저온 보냉자재 공급계약을 체결했다고 24일 공시했다. 계약 …
"[특징주]유니슨, 최대주주 변경 소식에 급등'",이데일리 11분전,[이데일리 유현욱 기자] 풍력발전사업을 주로 하는 유니슨이 최대주주 변경 소식에 주가가 급등하고 있다. 24일 마켓포인트에 따르 …
"키움증권, 미국 ETF·중국 주식 관련 온라인 세미나",매일경제 12분전,키움증권은 해외주식 분산투자에 관심이 많은 투자자를 대상으로 '미국 ETF와 중국 투자전략 세미나'를 개최한다고 24일 밝혔다. …
"아이디피, 코스닥 상장 첫날 공모가 상회",뉴시스 14분전,[서울=뉴시스] 이승주 기자 = 아이디피(332370)가 24일 코스닥 상장 첫날 공모가를 상회하고 있다. 아이디피는 이날 공모 …
"코로나19 재확산에 미소짓는 가구株…""주거환경 투자↑""",한국경제 14분전,신종 코로나바이러스 감염증(코로나19)가 재확산하면서 가구주들이 다시 상승하고 있다. 재택근무가 확산하면서 가구나 인테리어에 대 …
"LG전자, 이탈리아 프리미엄 가구 `까시나`와 공동 마케팅",매일경제 14분전,LG전자 초프리미엄 빌트인 '시그니처 키친 스위트(SIGNATURE KITCHEN SUITE)'가 이탈리아 프리미엄 가구 브랜드 …
"[친절한 금·자씨] 주담대 우회로? 깐깐해진다는 신용대출, '막차'라도 타야 할까",한국일보 15분전,"편집자주 친절한 ‘금융+자산’ 설명입니다. 어려운 금융을 알면, 쉬운 자산이 보입니다. 신용대출이 가파르게 늘면서 금융당국이 은 …"
"바이오니아, 사우디에 67억원 규모 코로나 진단장비 공급",이데일리 25분전,[이데일리 조용석 기자] 바이오니아(064550)는 사우디아라비아 보건복지부 등록 의료기기 공급 조달기관인 ‘High Stand …
"포스코ICT, 1070억원 규모 한진 물류자동화 프로젝트 낙찰",이데일리 26분전,[이데일리 조용석 기자] 포스코ICT(022100)는 한진이 발주한 대전 Mega-Hub 물류자동화 설비 구축 프로젝트 최종 대 …
[올댓차이나] 중국 증시 상승 출발…상하이지수 0.31%↑,뉴시스 27분전,[서울=뉴시스] 문예성 기자 = 중국 증시가 24일 상승 출발했다. 이날 상하이종합지수는 전거래일보다 0.31% 오른 3391. …
"[특징주]SK하이닉스, 기관 매수로 3%대 상승",아시아경제 28분전,[아시아경제 오주연 기자]SK하이닉스가 기관 투자자의 매수에 힘입어 장중 3%대 상승했다. 24일 오전 10시38분 기준 SK하 …
[사고]'코로나 시대' 재테크 어떻게 해야할까요,이데일리 30분전,점차 안정되는 듯 했던 신종 코로나 바이러스 감염증(코로나19)이 다시 무서운 속도로 확산하고 있습니다. 지난 3월 코로나19 …
